"hotel","landmark","distance_m","duration_m"
"Turist Hotellet","Strøget",1358.4,16.4033333333333
"Annex Copenhagen","Strøget",1456.3,17.6033333333333
"Coco Hotel","Strøget",1507.8,18.215
"Villa Copenhagen","Strøget",1133.2,13.805
"Bryggen Guldesmeden Hotels","Strøget",2389.2,28.7966666666667
"Kanalhuset","Strøget",1557.8,18.8516666666667
"Go Hotel City","Strøget",3846.3,46.7133333333333
"Four Points Flex by Sheraton Copenhagen Arena","Strøget",6746,81.1233333333333
"Eric Vökel Boutique Apartments","Strøget",1503.6,18.0716666666667
"A-Hotels City","Strøget",1484.2,17.9333333333333
"Scandic Webers Hotel","Strøget",1232.5,14.9216666666667
"Zoku Copenhagen","Strøget",3166.5,38.5016666666667
"Scandic Nørreport","Strøget",811.9,9.72333333333333
"25Hours","Strøget",448.3,5.37166666666667
"Apēron Apartment Hotel","Strøget",615.7,7.37
"Ibis Styles Copenhagen Ørestad","Strøget",5440.3,65.4383333333333
"CPH Hotel","Strøget",1615.5,19.6116666666667
"Brik Apartment Hotel","Strøget",3448,41.8766666666667
"Hotel Bethel","Strøget",977.2,11.76
"Hotel Bella Grande","Strøget",729.8,8.80833333333333
"25hours Hotel Paper Island","Strøget",1785.5,21.4716666666667
"Crowne Plaza Copenhagen Towers","Strøget",6756.3,81.2466666666667
"Cabinn City","Rundetaarn",1660.6,19.9233333333333
"Cab-Inn","Rundetaarn",1895.2,23.0066666666667
"Cab-Inn Scandinavia","Rundetaarn",1656.3,19.99
"Scandic Front","Rundetaarn",1301.6,15.715
"The Square","Rundetaarn",939.7,11.32
"Copenhagen Strand","Rundetaarn",1379.9,16.5916666666667
"Copenhagen Island","Rundetaarn",2763.6,33.1616666666667
"Comfort Hotel Vesterbro","Rundetaarn",1601.8,19.31
"Ibsens Hotel","Rundetaarn",788,9.435
"DGI-byens Hotel","Rundetaarn",2045.9,24.77
"Savoy","Rundetaarn",1761.8,21.2233333333333
"Avenue","Rundetaarn",1955.1,23.6333333333333
"Hotel Sankt Annæ","Rundetaarn",1194.8,14.4033333333333
"Phoenix Copenhagen","Rundetaarn",1122.4,13.5783333333333
"Hotel Christian IV","Rundetaarn",736.2,8.85166666666667
"Best Western Plus Airport Hotel Copenhagen","Rundetaarn",7216.9,87.2616666666667
"Ansgar","Rundetaarn",1788.6,21.52
"Løven","Rundetaarn",1722.3,20.7533333333333
"Tiffany","Rundetaarn",1761.6,21.1966666666667
"Go Hotel Saga","Rundetaarn",1658.7,20.0283333333333
"Hotel Du Nord","Rundetaarn",1597.7,19.2983333333333
"Hebron","Rundetaarn",1562.2,18.9033333333333
"City Hotel Nebo","Rundetaarn",1569,18.9566666666667
"Comfort Hotel Excelsior","Rundetaarn",1535.8,18.5566666666667
"Andersen Hotel","Rundetaarn",1647.2,19.9216666666667
"Mercur Hotel","Rundetaarn",1218,14.7416666666667
"Richmond Hotel","Rundetaarn",1091.3,13.12
"Kong Arthur","Rundetaarn",1023.5,12.2866666666667
"Comfort Hotel Esplanaden","Rundetaarn",1631.5,19.6416666666667
"Adina Hotel Copenhagen","Rundetaarn",2394.4,28.8516666666667
"Hotel SP34","Rundetaarn",773.4,9.24833333333333
"Hotel West","Rundetaarn",2106.8,25.3883333333333
"Central Hotel & Cafe","Rundetaarn",1963.5,23.765
"Hotel Bethel","Rundetaarn",1183.7,14.24
"Hotel Maritime","Rundetaarn",1258.9,15.175
"Hotel City","Rundetaarn",1263.3,15.2283333333333
"Hotel Amager","Rundetaarn",2495,30.4383333333333
"CPH Living","Rundetaarn",1715.8,20.6183333333333
"Rent a Room","Rundetaarn",2190.9,26.6966666666667
"Scandic Palace Hotel","Rundetaarn",918.2,10.9983333333333
"Rye115","Rundetaarn",2484.9,29.7616666666667
"Carlton Guldsmeden","Rundetaarn",2023.1,24.515
"Cottage Farm","Rundetaarn",12615.6,152.173333333333
"Livjæger Hotel Pension","Rundetaarn",2344.5,28.2216666666667
"Church of Scientology Hotel","Rundetaarn",1616.6,19.455
"Babette Guldsmeden Hotel","Rundetaarn",1626,19.5766666666667
"Manon les Suites","Rundetaarn",1179.8,14.2166666666667
"Imperial","Rundetaarn",1252.2,15.1866666666667
"Guldsmeden København","Rundetaarn",2007.6,24.3283333333333
"Absalon Hotel","Rundetaarn",1665.4,20.1083333333333
"Four Points Flex by Sheraton Copenhagen City","Rundetaarn",1684.8,20.3716666666667
"Ascot Hotel","Rundetaarn",922,11.135
"Hotel Alexandra","Rundetaarn",886.8,10.6466666666667
"MS Mary","Rundetaarn",1279,15.4483333333333
"Hotel 9 små hjem","Rundetaarn",2317.7,27.9016666666667
"Axel Guldsmeden","Rundetaarn",1597.5,19.2966666666667
"Hotel Sanders","Rundetaarn",1055.6,12.6783333333333
"the Socialist","Rundetaarn",682.9,8.21666666666667
"CitizenM Rådhuspladsen","Rundetaarn",936.5,11.2416666666667
"Good Morning City Copenhagen Star","Rundetaarn",1629.6,19.6783333333333
"Wakeup Bernstorffsgade","Rundetaarn",1934.3,23.2016666666667
"Turist Hotellet","Rundetaarn",1616.2,19.5233333333333
"Annex Copenhagen","Rundetaarn",1714.1,20.7233333333333
"Coco Hotel","Rundetaarn",1753.9,21.13
"Villa Copenhagen","Rundetaarn",1563.3,18.96
"Bryggen Guldesmeden Hotels","Rundetaarn",2819.3,33.9516666666667
"Kanalhuset","Rundetaarn",1857.7,22.41
"Go Hotel City","Rundetaarn",4146.2,50.2716666666667
"Four Points Flex by Sheraton Copenhagen Arena","Rundetaarn",7176.1,86.2783333333333
"Eric Vökel Boutique Apartments","Rundetaarn",1761.3,21.1916666666667
"A-Hotels City","Rundetaarn",1730.2,20.8483333333333
"Scandic Webers Hotel","Rundetaarn",1490.2,18.0416666666667
"Zoku Copenhagen","Rundetaarn",3466.4,42.06
"Scandic Nørreport","Rundetaarn",414.4,4.96333333333333
"25Hours","Rundetaarn",159.3,1.90833333333333
"Apēron Apartment Hotel","Rundetaarn",178.4,2.13666666666667
"Ibis Styles Copenhagen Ørestad","Rundetaarn",5870.4,70.5933333333333
"CPH Hotel","Rundetaarn",2045.6,24.7666666666667
"Brik Apartment Hotel","Rundetaarn",3747.9,45.435
"Hotel Bethel","Rundetaarn",1166.4,14.0333333333333
"Hotel Bella Grande","Rundetaarn",821.6,9.86666666666667
"25hours Hotel Paper Island","Rundetaarn",1974.8,23.745
"Crowne Plaza Copenhagen Towers","Rundetaarn",7186.4,86.4016666666667
"Cabinn City","Rosenborg Slot",2339.2,28.1833333333333
"Cab-Inn","Rosenborg Slot",2295.9,27.91
"Cab-Inn Scandinavia","Rosenborg Slot",1914.4,23.245
"Scandic Front","Rosenborg Slot",1300,16.6966666666667
"The Square","Rosenborg Slot",1519.6,18.4966666666667
"Copenhagen Strand","Rosenborg Slot",1504.3,19.4483333333333
"Copenhagen Island","Rosenborg Slot",3442.2,41.4216666666667
"Comfort Hotel Vesterbro","Rosenborg Slot",2096.2,25.6
"Ibsens Hotel","Rosenborg Slot",951.5,11.4316666666667
"DGI-byens Hotel","Rosenborg Slot",2573.8,31.32
"Savoy","Rosenborg Slot",2258.7,27.5083333333333
"Avenue","Rosenborg Slot",2090.1,25.22
"Hotel Sankt Annæ","Rosenborg Slot",1239.4,15.905
"Phoenix Copenhagen","Rosenborg Slot",924.9,12.1416666666667
"Hotel Christian IV","Rosenborg Slot",510.5,6.985
"Best Western Plus Airport Hotel Copenhagen","Rosenborg Slot",7530.3,92.56
"Ansgar","Rosenborg Slot",2294.3,27.9716666666667
"Løven","Rosenborg Slot",2219.2,27.0383333333333
"Tiffany","Rosenborg Slot",2267.3,27.6483333333333
"Go Hotel Saga","Rosenborg Slot",2166.4,26.44
"Hotel Du Nord","Rosenborg Slot",2105.4,25.71
"Hebron","Rosenborg Slot",2072.1,25.3116666666667
"City Hotel Nebo","Rosenborg Slot",2076.7,25.3683333333333
"Comfort Hotel Excelsior","Rosenborg Slot",2043.5,24.9683333333333
"Andersen Hotel","Rosenborg Slot",2157.1,26.33
"Mercur Hotel","Rosenborg Slot",1619,19.6483333333333
"Richmond Hotel","Rosenborg Slot",1397.7,17.055
"Kong Arthur","Rosenborg Slot",1164.9,13.985
"Comfort Hotel Esplanaden","Rosenborg Slot",1336.2,16.0966666666667
"Adina Hotel Copenhagen","Rosenborg Slot",1924.9,23.185
"Hotel SP34","Rosenborg Slot",1187.1,14.4816666666667
"Hotel West","Rosenborg Slot",2560.5,31.1916666666667
"Central Hotel & Cafe","Rosenborg Slot",2425.2,29.5333333333333
"Hotel Bethel","Rosenborg Slot",1245.4,16.3416666666667
"Hotel Maritime","Rosenborg Slot",1384.9,18.0183333333333
"Hotel City","Rosenborg Slot",1389.4,18.0716666666667
"Hotel Amager","Rosenborg Slot",2808.4,35.7366666666667
"CPH Living","Rosenborg Slot",2276.3,28.8666666666667
"Rent a Room","Rosenborg Slot",2504.3,31.995
"Scandic Palace Hotel","Rosenborg Slot",1585.2,19.0916666666667
"Rye115","Rosenborg Slot",1821,21.8116666666667
"Carlton Guldsmeden","Rosenborg Slot",2484.8,30.2833333333333
"Cottage Farm","Rosenborg Slot",12929,157.471666666667
"Livjæger Hotel Pension","Rosenborg Slot",1805.4,21.65
"Church of Scientology Hotel","Rosenborg Slot",2111,25.745
"Babette Guldsmeden Hotel","Rosenborg Slot",1330.7,16.0316666666667
